"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 25 13:35:42 IST 2026","Thu Jun 25 13:35:56 IST 2026","13896","Programs","handling_inputbox","","","","test_to_check_the_attribute_of_the_element[chromium]",""
"passed","Thu Jun 25 13:35:38 IST 2026","Thu Jun 25 13:35:42 IST 2026","3502","Programs","handling_inputbox","","","","test_verify_checkbox_radiobtn[chromium]",""
